jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
alfredo acuna,1446.83,1500.0,1441.74,1500.0,1500.0,1500.0,1500.0,1500.0,0,1446.83
ifthekar sardar,1400.81,1500.0,1500.0,1500.0,1398.59,1500.0,1500.0,1500.0,0,1400.81
hector romani,1486.01,1500.0,1483.55,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.01
pedro barrios,1491.66,1500.0,1490.4,1500.0,1500.0,1500.0,1500.0,1500.0,0,1491.66
rudolf hoskowetz,1511.76,1523.62,1507.35,1500.0,1500.0,1520.84,1500.0,1500.0,0,1511.76
andrew painter,1499.04,1500.0,1500.0,1492.14,1500.0,1500.0,1500.0,1500.0,0,1499.04
goran prpic,1640.61,1950.86,1619.42,1460.52,1593.89,1909.36,1500.0,1633.13,0,1640.61
zachary svajda,1477.79,1505.57,1500.0,1486.03,1472.21,1500.0,1500.0,1500.0,1,1477.79
martin valenti,1486.51,1500.0,1486.39,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.51
ivo lagzdins,1453.88,1500.0,1467.59,1500.0,1486.18,1500.0,1500.0,1500.0,0,1453.88
andy brothers,1517.3,1517.3,1500.0,1500.0,1515.39,1500.0,1500.0,1515.39,0,1517.3
chris wilkinson,1507.92,1591.62,1500.08,1483.06,1398.32,1518.09,1562.05,1500.0,0,1507.92
rafael ruiz,1467.07,1507.94,1459.94,1500.0,1500.0,1500.84,1500.0,1500.0,0,1467.07
bob perrin,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
adam hornby,1453.15,1500.0,1469.05,1500.0,1484.85,1500.0,1500.0,1500.0,0,1453.15
alan frey,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
mike kernodie,1468.96,1500.0,1488.16,1481.91,1500.0,1500.0,1500.0,1500.0,0,1468.96
rodney harmon,1552.47,1748.34,1510.72,1500.65,1574.62,1579.31,1589.62,1676.48,0,1552.47
gianluca naso,1445.58,1500.81,1431.21,1500.0,1500.0,1501.12,1500.0,1500.0,0,1445.58
carlos behar,1480.17,1500.0,1481.98,1500.0,1500.0,1500.0,1500.0,1500.0,0,1480.17
chris wells,1484.09,1500.0,1500.0,1484.33,1500.0,1500.0,1500.0,1500.0,0,1484.09
jose bernard,1516.1,1516.1,1499.33,1500.0,1516.0,1500.0,1500.0,1516.0,0,1516.1
michael chang,1565.84,2111.97,1598.13,1569.16,1549.79,1913.81,1639.65,2096.68,0,1565.84
pedro cordeiro,1482.42,1516.0,1509.68,1465.17,1500.0,1516.0,1500.0,1500.0,0,1482.42
nicolas almagro,1689.89,1987.73,1713.71,1538.8,1623.44,1964.61,1585.53,1802.8,0,1689.89
tiago sousa,1490.35,1500.0,1485.79,1500.0,1500.0,1500.0,1500.0,1500.0,0,1490.35
charles buzz strode,1477.43,1541.44,1489.34,1474.95,1471.84,1522.26,1500.0,1526.81,0,1477.43
mik ledvonova,1519.82,1519.82,1515.86,1500.0,1500.51,1515.86,1500.0,1500.51,0,1519.82
sergi bruguera,1561.13,2088.68,1600.39,1517.95,1575.92,2099.03,1541.68,1849.51,0,1561.13
jorge lemann,1480.72,1500.0,1479.56,1500.0,1500.0,1500.0,1500.0,1500.0,0,1480.72
alexander kudryavtsev,1465.65,1522.5,1484.31,1475.23,1467.5,1500.0,1500.0,1526.92,0,1465.65
bernard frost,1516.0,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1516.0
rob kilderry,1502.1,1532.74,1500.0,1500.33,1500.0,1500.0,1532.74,1500.0,0,1502.1
richard hawkes,1442.4,1536.04,1450.3,1468.81,1465.03,1500.0,1518.63,1539.56,0,1442.4
j. rudman,1485.54,1500.0,1500.0,1500.0,1485.54,1500.0,1500.0,1500.0,0,1485.54
karim mohamed maamoun,1472.92,1514.58,1460.36,1500.0,1515.12,1514.52,1500.0,1515.12,0,1472.92
ricardas berankis,1619.81,1746.58,1463.68,1437.35,1626.12,1506.73,1516.0,1719.69,0,1619.81
relja fiser dulic,1485.49,1500.0,1485.94,1500.0,1500.0,1500.0,1500.0,1500.0,0,1485.49
arnold saul,1447.31,1500.0,1500.0,1500.0,1447.01,1500.0,1500.0,1500.0,0,1447.31
walter hodsdon,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
li tu,1428.19,1500.0,1500.0,1469.92,1425.93,1500.0,1500.01,1500.0,1,1428.19
scott mccain,1483.68,1558.79,1477.73,1419.81,1493.73,1500.0,1537.62,1537.17,0,1483.68
givaldo barbosa,1405.9,1500.0,1404.12,1417.06,1458.6,1500.0,1516.0,1508.61,0,1405.9
cyril suk,1401.02,1500.0,1437.91,1468.62,1448.43,1500.0,1500.0,1500.0,0,1401.02
rodrigo pacheco mendez,1513.61,1520.1,1516.0,1500.0,1479.93,1516.0,1500.0,1500.0,1,1513.61
wally masur,1587.73,1850.98,1557.13,1679.21,1574.97,1632.94,1783.42,1766.97,0,1587.73
joao cunha silva,1476.2,1558.17,1436.09,1459.25,1495.82,1575.13,1500.0,1512.26,0,1520.11
mauricio estivariz,1433.38,1500.0,1416.18,1500.0,1515.87,1500.0,1500.0,1515.87,0,1433.38
j. a. southworth,1466.84,1500.0,1500.0,1466.3,1500.0,1500.0,1500.0,1500.0,0,1466.84
sam vuille,1460.84,1500.0,1462.71,1500.0,1500.0,1500.0,1500.0,1500.0,0,1460.84
fredrik ask,1474.15,1500.0,1487.87,1500.0,1485.98,1500.0,1500.0,1500.0,0,1474.15
gerardo miceli,1490.32,1500.0,1486.98,1500.0,1500.0,1500.0,1500.0,1500.0,0,1490.32
jose perdomo,1484.74,1500.0,1500.0,1500.0,1484.74,1500.0,1500.0,1500.0,0,1484.74
diego junqueira,1448.27,1542.13,1432.86,1489.13,1490.44,1541.98,1500.0,1505.25,0,1448.27
rolandas murashka,1524.86,1542.06,1528.39,1500.0,1499.3,1528.39,1500.0,1515.27,0,1524.86
robert stuckert,1509.78,1515.95,1500.24,1500.0,1500.0,1516.01,1500.0,1500.0,0,1509.78
premjit lall,1539.19,1696.75,1502.01,1552.28,1456.57,1582.72,1646.25,1500.0,0,1539.19
james buckley,1474.3,1505.09,1500.0,1479.46,1484.25,1500.0,1505.44,1500.0,0,1474.3
andrew ilie,1470.55,1736.87,1575.16,1449.51,1478.45,1731.36,1538.04,1660.42,0,1470.55
juan-pablo guzman,1446.17,1515.94,1458.58,1467.52,1485.95,1515.46,1500.0,1514.63,0,1446.17
stanislav bykov,1467.68,1500.0,1500.0,1500.0,1469.17,1500.0,1500.0,1500.0,0,1467.68
mohammed faizal bin othman,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
ugo humbert,1718.19,1925.5,1448.66,1567.44,1830.58,1550.44,1673.43,1898.52,1,1718.19
julian krinsky,1535.53,1612.28,1469.82,1482.75,1558.7,1500.0,1516.0,1608.63,0,1535.53
nenad zimonjic,1428.06,1500.0,1430.73,1515.9,1395.41,1500.0,1531.32,1500.0,0,1428.06
alvin gardiner,1375.69,1524.85,1378.57,1344.24,1431.91,1528.85,1500.74,1521.78,0,1375.69
jiri vesely,1588.9,1768.28,1510.36,1584.48,1571.95,1707.88,1622.29,1614.16,1,1588.9
e.h. woodruff,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
nick barone,1486.52,1500.0,1500.0,1490.1,1494.7,1500.0,1500.0,1500.0,0,1483.61
paul sullivan,1402.55,1516.0,1471.15,1410.78,1491.42,1516.0,1503.57,1500.0,0,1402.55
balaram singh,1486.28,1500.0,1500.0,1486.08,1500.0,1500.0,1500.0,1500.0,0,1486.28
richard ravreby,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1501.87
jim ward,1461.98,1539.48,1473.6,1498.1,1481.05,1500.0,1533.65,1500.0,0,1461.98
kunio tsukamoto,1502.02,1516.0,1497.71,1500.0,1500.0,1516.0,1500.0,1500.0,0,1502.02
christian lindell,1469.55,1500.0,1487.97,1500.0,1453.84,1500.0,1500.0,1500.0,0,1469.55
jose benitez,1515.33,1516.0,1499.33,1500.0,1516.0,1516.0,1500.0,1516.0,0,1515.33
melle van gemerden,1507.58,1518.93,1511.61,1503.48,1483.9,1532.04,1514.99,1512.41,0,1507.58
maximilian marterer,1498.37,1643.26,1485.59,1455.04,1475.3,1578.41,1500.0,1547.24,1,1498.37
viktor kazakevitch,1486.37,1500.0,1486.93,1493.3,1500.0,1500.0,1500.0,1500.0,0,1486.37
matei pampoulov,1514.58,1514.58,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1514.58
pascal deniau,1510.77,1518.33,1500.0,1500.0,1504.36,1500.0,1500.0,1515.8,0,1510.77
robert ouwendijk,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
christian hill,1483.4,1500.0,1500.0,1500.0,1483.18,1500.0,1500.0,1500.0,0,1483.4
sebastian fanselow,1491.51,1500.0,1486.52,1500.0,1500.0,1500.0,1500.0,1500.0,1,1491.51
j. bougher,1515.26,1532.0,1500.0,1515.26,1500.0,1500.0,1532.0,1500.0,0,1515.26
sascha kloer,1494.56,1500.0,1492.96,1500.0,1500.0,1500.0,1500.0,1500.0,0,1494.56
robert reininger,1461.63,1500.0,1418.14,1460.56,1498.82,1500.0,1500.0,1500.0,0,1461.63
steven wright,1487.45,1500.0,1500.0,1485.91,1500.0,1500.0,1500.0,1500.0,0,1487.45
carl uwe steeb,1523.43,1529.72,1523.54,1500.0,1500.0,1529.02,1500.0,1500.0,0,1507.17
christopher rungkat,1465.63,1516.0,1468.51,1500.0,1501.22,1516.0,1500.0,1517.4,0,1575.46
andis juska,1501.13,1534.34,1546.8,1500.0,1457.48,1546.8,1500.0,1500.0,0,1501.13
nuno borges,1701.25,1720.22,1648.58,1480.3,1630.63,1672.45,1500.0,1657.66,1,1701.25
john doran,1498.74,1516.4,1482.64,1500.0,1516.18,1514.75,1500.0,1516.18,0,1498.74
peter torebko,1472.85,1500.0,1468.81,1500.0,1500.0,1500.0,1500.0,1500.0,0,1472.85
digvijaypratap singh,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,1516.0,0,1516.0
edan leshem,1459.28,1500.0,1517.06,1500.0,1444.46,1517.06,1500.0,1500.0,0,1459.28
lazaro navarro batles,1545.34,1582.43,1467.3,1500.0,1578.62,1500.0,1500.0,1582.12,0,1545.34
thomas fabbiano,1496.96,1601.06,1418.2,1564.79,1429.79,1500.0,1581.02,1532.42,0,1496.96
morris skip strode,1509.76,1575.55,1486.1,1422.6,1546.73,1505.48,1500.0,1589.05,0,1509.76
dominik hrbaty,1550.22,1911.01,1534.98,1424.81,1580.51,1833.16,1500.0,1830.8,0,1550.22
marcelo amador,1493.02,1500.0,1495.35,1500.0,1500.0,1500.0,1500.0,1500.0,0,1493.02
ronald cornell,1468.82,1516.0,1483.33,1484.0,1500.0,1516.0,1500.0,1500.0,0,1468.82
peter spang,1473.37,1500.0,1472.84,1500.0,1500.0,1500.0,1500.0,1500.0,0,1473.37
dawood khan,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
martin lorenzoni,1489.45,1500.0,1496.99,1500.0,1488.02,1500.0,1500.0,1500.0,0,1489.45
wayne hearn,1522.73,1524.37,1500.0,1500.0,1515.67,1500.0,1500.0,1517.88,0,1522.73
josh goodall,1388.67,1500.0,1500.0,1406.4,1440.07,1500.0,1500.0,1500.0,0,1388.67
michel borfiga,1527.87,1527.87,1529.1,1500.0,1500.0,1529.1,1500.0,1500.0,0,1527.87
h.m. bond,1483.02,1500.0,1500.0,1481.92,1500.0,1500.0,1500.0,1500.0,0,1483.02
d. o'keefe,1484.46,1500.0,1500.0,1484.31,1500.0,1500.0,1500.0,1500.0,0,1484.0
raymond moore,1582.32,1863.61,1549.7,1524.27,1595.01,1762.95,1721.52,1779.57,0,1582.32
dave shaw,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
pavel vizner,1483.43,1500.0,1482.8,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.43
v. gillaspy,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
mehl ampon,1525.95,1525.95,1488.76,1500.0,1536.93,1500.0,1500.0,1536.93,0,1525.95
giulio zeppieri,1455.65,1532.92,1474.24,1481.87,1460.92,1520.59,1500.0,1507.38,1,1455.65
roberto graetz,1442.0,1500.0,1437.08,1500.0,1500.0,1500.0,1500.0,1500.0,0,1494.32
cesar cruz,1452.26,1500.0,1484.0,1500.0,1467.47,1500.0,1500.0,1500.0,0,1452.26
michael joyce,1582.15,1757.59,1462.52,1502.9,1562.71,1521.84,1533.99,1703.27,0,1582.15
john barlett,1522.36,1542.92,1460.99,1505.94,1508.8,1516.0,1543.42,1516.0,0,1522.36
petros tsitsipas,1476.95,1500.0,1488.19,1500.0,1478.25,1501.47,1500.0,1500.0,1,1476.95
alain brichant,1452.34,1500.0,1473.4,1500.0,1473.76,1500.0,1500.0,1518.57,0,1452.34
john hayes,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1499.17
h. gais,1483.63,1500.0,1483.5,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.63
andrew lobb,1485.89,1500.0,1500.0,1500.0,1485.35,1500.0,1500.0,1500.0,0,1485.89
harwood white,1500.0,1516.0,1500.0,1500.0,1500.0,1500.0,1500.0,1516.0,0,1500.0
paul jubb,1508.55,1531.77,1500.0,1465.5,1500.0,1500.0,1500.0,1500.0,1,1508.55
samuel groth,1558.7,1710.66,1492.53,1550.54,1461.38,1523.38,1588.55,1601.65,0,1497.64
miguel braschi,1494.42,1500.0,1500.0,1500.0,1490.15,1500.0,1500.0,1500.0,0,1494.42
kenneth hennep,1474.72,1500.0,1500.0,1500.0,1468.19,1500.0,1500.0,1500.0,0,1474.72
chris mayotte,1526.42,1583.25,1448.21,1433.65,1524.09,1501.29,1500.0,1585.63,0,1526.42
coenie van wyk,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,1516.0,0,1516.0
alexander zgirovsky,1494.37,1500.0,1494.4,1500.0,1500.0,1500.0,1500.0,1500.0,0,1494.37
patrick beraud,1485.54,1500.0,1486.36,1500.0,1500.0,1500.19,1500.0,1500.0,0,1485.54
terry saunders,1479.93,1500.0,1500.0,1474.53,1500.0,1500.0,1500.0,1500.0,0,1479.93
rob kuypers,1466.77,1500.0,1468.14,1500.0,1500.0,1500.0,1500.0,1500.0,0,1466.77
yue wei wang,1488.17,1500.0,1500.0,1500.0,1484.81,1500.0,1500.0,1500.0,0,1488.17
joachim bjerke,1439.86,1500.0,1500.0,1500.0,1437.51,1500.0,1500.0,1500.0,0,1439.86
issam al tawil,1463.3,1500.0,1500.4,1500.0,1459.43,1500.4,1500.0,1500.0,0,1463.3
riccardo bonadio,1486.82,1500.0,1482.71,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.82
theo snyman,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
gunther prell,1478.38,1500.0,1478.25,1500.0,1500.0,1500.0,1500.0,1500.0,0,1478.38
filippo messori,1508.43,1516.9,1503.69,1500.0,1500.0,1511.86,1500.0,1500.0,0,1508.43
west nott,1527.73,1527.73,1500.0,1500.0,1527.84,1500.0,1500.0,1527.84,0,1527.73
khaled al haji,1469.47,1500.0,1469.47,1500.0,1500.0,1500.0,1500.0,1500.0,0,1469.47
christophe tholl,1456.46,1500.0,1500.0,1500.0,1457.77,1500.0,1500.0,1500.0,0,1456.46
allan hitchcock,1482.78,1500.0,1500.0,1500.0,1483.34,1500.0,1500.0,1500.0,0,1482.78
yu hui lien,1482.69,1557.77,1413.65,1530.56,1548.83,1500.0,1530.56,1548.83,0,1482.69
eric riley,1505.22,1515.29,1500.0,1499.26,1500.0,1500.0,1516.0,1500.0,0,1505.22
karl hedrick,1498.56,1516.0,1500.0,1500.0,1499.93,1500.0,1500.0,1516.0,0,1498.56
rabi bouhassoun,1481.99,1515.87,1500.0,1500.0,1482.64,1500.0,1500.0,1515.98,0,1481.99
victor eke,1436.44,1500.0,1500.0,1415.11,1507.56,1500.0,1500.0,1517.25,0,1436.44
denis langaskens,1555.54,1555.54,1531.63,1500.0,1531.81,1531.63,1500.0,1531.81,0,1555.54
nicolas barrientos,1451.38,1500.0,1509.03,1500.0,1434.48,1516.0,1500.0,1500.0,0,1451.38
duilio vallebuona,1484.2,1500.0,1484.85,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.2
stefan kinsch,1470.66,1500.0,1470.6,1500.0,1500.0,1500.0,1500.0,1500.0,0,1470.66
genius chidzikwe,1373.4,1500.0,1449.91,1500.0,1389.38,1500.0,1500.0,1501.69,0,1373.4
francois matheu,1493.29,1500.0,1487.89,1500.0,1500.0,1500.0,1500.0,1500.0,0,1493.29
colin mchugo,1441.42,1532.01,1482.06,1467.95,1484.0,1500.0,1532.0,1500.0,0,1441.42
daniel evans,1610.84,1828.48,1475.12,1521.12,1563.62,1579.9,1568.73,1821.99,1,1610.84
pedro martinez,1587.92,1726.68,1588.89,1451.11,1502.25,1680.29,1534.44,1597.52,1,1587.92
bertrand madsen,1439.39,1516.0,1427.04,1500.0,1494.3,1516.0,1500.0,1508.86,0,1439.39
vasilis mazarakis,1510.59,1533.61,1506.89,1500.0,1494.34,1510.98,1500.0,1530.63,0,1510.59
fadi youssef,1470.65,1500.0,1500.0,1500.0,1470.88,1500.0,1500.0,1500.0,0,1470.65
tim pawsat,1512.13,1538.87,1500.0,1505.46,1488.52,1500.0,1516.0,1515.65,0,1512.13
rodolfo rake,1491.92,1500.0,1500.0,1500.0,1490.93,1500.0,1500.0,1500.0,0,1491.92
jim white,1505.97,1516.0,1500.0,1500.0,1503.76,1500.0,1500.0,1516.0,0,1505.97
abdel ghani,1486.04,1500.0,1487.11,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.04
ruslon rainov,1528.31,1528.31,1525.93,1500.0,1500.0,1525.93,1500.0,1500.0,0,1528.31
markus kerner,1483.24,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.24
m.a. ilahi,1489.62,1514.68,1500.0,1498.67,1485.56,1500.0,1515.21,1500.0,0,1489.62
hassan el arousy,1483.03,1515.36,1539.19,1500.0,1443.9,1539.19,1500.0,1500.0,0,1483.03
ingo neumuller,1485.78,1500.0,1485.5,1500.0,1500.0,1500.0,1500.0,1500.0,0,1485.78
luigi compagna,1483.5,1500.0,1483.36,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.5
james vuille,1488.51,1500.0,1486.28,1500.0,1500.0,1500.0,1500.0,1500.0,0,1488.51
midodji segbeaya,1480.51,1525.47,1473.44,1500.0,1510.19,1500.0,1500.0,1527.63,0,1480.51
rene ruzic,1484.35,1500.0,1482.28,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.35
howard joffe,1503.98,1515.63,1500.0,1500.0,1502.41,1500.0,1500.0,1514.81,0,1503.98
joe brandi,1490.06,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1490.06
alan lane,1508.49,1515.26,1500.0,1502.57,1500.0,1500.0,1515.26,1500.0,0,1508.49
alex kuznetsov,1431.14,1500.0,1486.5,1443.01,1426.52,1514.93,1516.0,1500.0,0,1431.14
peter palandjian,1485.64,1500.0,1500.38,1500.0,1468.5,1518.27,1500.0,1500.0,0,1485.64
hubertus hoyt,1429.73,1500.0,1439.03,1500.0,1467.93,1500.0,1500.0,1500.0,0,1429.73
audun jensen,1510.42,1529.41,1500.0,1482.56,1529.39,1500.0,1500.0,1529.39,0,1510.42
serguei tarasevitch,1490.11,1500.0,1500.0,1500.0,1489.04,1500.0,1500.0,1500.0,0,1490.11
toyokazu tomogane,1481.45,1500.0,1480.98,1500.0,1500.0,1500.0,1500.0,1500.0,0,1481.45
brian cheney,1484.84,1532.04,1516.6,1488.46,1462.59,1532.03,1516.03,1500.0,0,1484.84
ruben ramirez hidalgo,1405.18,1704.1,1409.39,1406.14,1423.05,1690.05,1500.0,1500.0,0,1405.18
johan nikles,1475.84,1500.0,1470.77,1500.0,1500.0,1500.0,1500.0,1500.0,0,1475.84
jean nabi,1373.54,1516.0,1426.06,1500.0,1427.51,1516.0,1500.0,1516.0,0,1373.54
robert buckley,1490.82,1500.0,1500.0,1483.87,1500.0,1500.0,1500.0,1500.0,0,1490.82
larry le roy,1483.77,1500.0,1500.0,1484.13,1500.0,1500.0,1500.0,1500.0,0,1483.77
valerio vettesi,1500.0,1516.0,1500.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1500.0
larry goldbeck,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
khoder issa,1471.54,1500.0,1471.54,1500.0,1500.0,1500.0,1500.0,1500.0,0,1471.54
r bortulan,1500.36,1516.0,1500.0,1500.0,1501.2,1500.0,1500.0,1516.0,0,1500.36
roy schwegmann,1499.45,1516.0,1500.0,1500.0,1498.72,1500.0,1500.0,1516.0,0,1494.54
colin dibley,1588.61,1871.53,1539.45,1618.11,1568.98,1711.58,1782.65,1696.41,0,1588.61
patrick baur,1490.08,1672.38,1471.05,1459.45,1470.62,1531.41,1519.84,1646.72,0,1490.08
daniel orsanic,1508.86,1561.4,1518.41,1462.4,1440.23,1570.39,1500.0,1506.49,0,1508.86
edgar hernandez perez,1429.66,1500.0,1469.04,1500.0,1455.15,1500.0,1500.0,1500.0,0,1429.66
jabor al-mutawa,1445.63,1500.0,1500.0,1500.0,1443.85,1500.0,1500.0,1500.0,0,1445.63
mattias siimar,1488.61,1500.0,1500.0,1500.0,1485.99,1500.0,1500.0,1500.0,0,1488.61
gregoire rafaitin,1477.72,1500.0,1464.44,1500.0,1498.36,1500.0,1500.0,1514.79,0,1477.72
chi yuen pang,1467.21,1500.0,1500.0,1500.0,1468.0,1500.0,1500.0,1500.0,0,1467.21
hiroki moriya,1491.61,1510.92,1500.0,1492.64,1486.93,1500.0,1500.0,1508.36,0,1491.61
jaume munar,1684.59,1699.31,1575.92,1485.9,1550.22,1658.68,1500.0,1555.63,1,1684.59
jenson brooksby,1793.97,1829.06,1498.05,1571.52,1768.69,1509.61,1591.75,1815.75,1,1793.97
p. corne,1486.03,1500.0,1500.0,1484.14,1500.0,1500.0,1500.0,1500.0,0,1486.03
marinos baghdatis,1470.14,1500.0,1500.0,1500.0,1470.88,1500.0,1500.0,1500.0,0,1639.22
r. beaver,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
nathan anthony barki,1486.7,1500.0,1500.0,1500.0,1485.54,1500.0,1500.0,1500.0,0,1486.7
graeme foster,1485.64,1500.0,1500.0,1500.0,1486.34,1500.0,1500.0,1500.0,0,1485.64
jia ping xia,1558.91,1558.91,1529.86,1500.0,1529.4,1529.86,1500.0,1529.4,0,1611.66
gilles hinchcliffe,1483.15,1500.0,1500.0,1483.2,1500.0,1500.0,1500.0,1500.0,0,1483.15
hans fredborg,1482.88,1500.0,1500.0,1500.0,1483.41,1500.0,1500.0,1500.0,0,1482.88
unknown spinelli,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
g. young,1481.08,1500.0,1500.0,1482.34,1500.0,1500.0,1500.0,1500.0,0,1481.08
brandon coupe,1492.08,1500.0,1500.0,1500.0,1491.68,1500.0,1500.0,1500.0,0,1492.08
davide scala,1489.69,1572.46,1489.9,1500.0,1489.35,1549.6,1500.0,1521.75,0,1489.69
kj hippensteel,1493.1,1518.73,1500.0,1500.0,1475.96,1500.0,1500.0,1517.92,0,1493.1
marek marksoo,1482.59,1500.0,1500.0,1500.0,1483.36,1500.0,1500.0,1500.0,0,1482.59
unknown bahr,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
nicklas utgren,1484.94,1563.9,1470.76,1500.0,1504.92,1545.23,1500.0,1520.18,0,1484.94
william demas,1506.24,1516.0,1500.0,1500.0,1504.76,1500.0,1500.0,1516.0,0,1506.24
gabriel markus,1653.21,1734.22,1654.54,1488.14,1460.13,1707.27,1500.0,1564.13,0,1477.19
c. webster,1497.38,1514.49,1500.0,1498.51,1500.0,1500.0,1514.54,1500.0,0,1497.38
jack steinorth,1489.61,1500.0,1500.0,1500.0,1485.91,1500.0,1500.0,1500.0,0,1489.61
stephen noteboom,1496.43,1521.0,1491.26,1500.0,1502.61,1500.0,1500.0,1518.64,0,1496.43
christian collange,1482.75,1500.0,1500.0,1500.0,1483.31,1500.0,1500.0,1500.0,0,1482.75
frank lucassen,1483.26,1500.0,1483.26,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.26
ricky brown,1465.48,1503.67,1444.88,1507.06,1474.1,1500.0,1513.59,1511.95,0,1465.48
albano olivetti,1501.45,1556.17,1486.16,1467.89,1534.54,1500.0,1500.0,1548.14,0,1501.45
dennis van scheppingen,1514.85,1673.45,1526.33,1441.3,1496.18,1595.54,1505.01,1564.09,0,1514.85
pablo andujar,1502.47,1739.25,1526.2,1375.67,1490.24,1763.69,1500.0,1578.24,0,1502.47
dalibor svrcina,1492.79,1515.63,1500.0,1500.0,1476.95,1500.0,1500.0,1506.01,1,1492.79
bill colson,1416.02,1516.0,1463.94,1444.75,1500.0,1500.0,1516.0,1500.0,0,1416.02
jacob rasolondrazana,1468.64,1500.0,1469.06,1500.0,1494.12,1500.0,1500.0,1500.0,0,1468.64
vicente zarazua,1477.84,1516.0,1468.24,1488.99,1500.0,1516.0,1500.0,1500.0,0,1477.84
michael ryderstedt,1489.82,1569.0,1482.04,1500.0,1498.14,1510.38,1500.0,1566.53,0,1489.82
august holmgren,1567.75,1572.36,1500.0,1524.35,1522.22,1500.0,1533.26,1546.27,1,1567.75
di lin,1475.52,1500.0,1500.0,1500.0,1473.66,1500.0,1500.0,1500.0,0,1475.52
piero toci,1438.7,1535.3,1431.51,1467.52,1500.0,1528.82,1535.63,1500.0,0,1438.7
novak djokovic,2065.99,2458.34,2007.73,2019.72,2063.16,2249.74,2079.14,2387.71,1,2065.99
carl uwe steeb,1507.17,1911.56,1525.82,1464.66,1536.79,1823.97,1500.0,1771.31,0,1507.17
manuel santana,1686.84,1969.15,1732.6,1592.39,1554.69,1927.8,1620.06,1593.04,0,1686.84
christophe rochus,1417.48,1654.1,1485.44,1324.63,1432.54,1668.3,1500.0,1584.76,0,1417.48
esat tanik,1484.13,1500.0,1500.0,1500.0,1484.71,1500.0,1500.0,1500.0,0,1484.13
anibal leal,1491.31,1500.0,1490.53,1500.0,1500.0,1500.0,1500.0,1500.0,0,1491.31
stephane grenier,1495.05,1500.0,1487.41,1500.0,1500.0,1500.0,1500.0,1500.0,0,1495.05
matwe middelkoop,1508.61,1508.61,1488.85,1483.02,1528.53,1500.0,1500.0,1528.53,0,1508.61
jurek stasiak,1511.33,1511.33,1516.0,1500.0,1497.92,1516.0,1500.0,1507.42,0,1511.33
stan smith,1597.12,2173.53,1714.84,1742.44,1557.66,1961.27,2024.58,1979.54,0,1597.12
daniel danilovic,1454.52,1500.0,1454.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1454.52
frank ofori,1592.09,1646.59,1458.38,1500.0,1647.72,1500.0,1500.0,1671.02,0,1592.09
don kierbow,1487.29,1500.0,1500.0,1500.0,1477.98,1500.0,1500.0,1500.0,0,1487.29
