jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
juan ignacio londero,1487.17,1694.39,1525.7,1471.77,1449.83,1701.97,1514.38,1521.65,0,1487.17
a. chappell,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
dane sweeny,1512.98,1528.41,1500.0,1500.0,1500.13,1500.0,1500.0,1525.82,1,1512.98
phillipe ventura,1499.32,1500.0,1499.32,1500.0,1500.0,1500.0,1500.0,1500.0,0,1499.32
b. chaffey,1492.97,1500.0,1500.0,1500.0,1492.26,1500.0,1500.0,1500.0,0,1492.97
pichet boratisa,1501.74,1516.0,1500.0,1500.0,1493.79,1500.0,1500.0,1516.0,0,1501.74
pietro angelini,1487.93,1500.0,1488.32,1500.0,1500.0,1500.0,1500.0,1500.0,0,1487.93
kelly evernden,1574.03,1829.32,1501.52,1602.74,1525.8,1540.52,1694.5,1682.51,0,1574.03
ivan kley,1394.79,1517.79,1345.45,1462.81,1507.02,1513.81,1500.0,1564.56,0,1394.79
dave bohrnstedt,1484.04,1500.0,1500.0,1491.6,1484.0,1500.0,1500.0,1500.0,0,1484.04
mohammed al nabhani,1440.38,1500.0,1500.0,1500.0,1440.49,1500.0,1500.0,1500.0,0,1440.38
jean jacques kouassi,1528.86,1528.86,1498.66,1500.0,1531.26,1500.0,1500.0,1531.26,0,1528.86
colin fleming,1499.79,1500.0,1500.0,1471.94,1518.3,1500.0,1500.0,1518.3,0,1499.79
herbert browne,1486.25,1500.0,1480.37,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.25
eduardo soriano,1491.16,1515.29,1490.4,1500.0,1500.0,1515.29,1500.0,1500.0,0,1491.16
javier restrepo,1433.67,1500.0,1435.28,1500.44,1475.98,1500.0,1516.0,1500.0,0,1433.67
luciano cuneo,1516.0,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1516.0
andre lopes,1483.29,1500.0,1500.0,1500.0,1483.28,1500.0,1500.0,1500.0,0,1483.29
jim mclennan,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
nouhoun sangare,1498.54,1516.0,1483.21,1500.0,1515.37,1500.0,1500.0,1516.0,0,1498.54
gabor jaross,1483.66,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1483.66
rodrigo senattore,1507.42,1507.42,1500.0,1500.0,1504.92,1500.0,1500.0,1504.92,0,1507.42
hans goransson,1479.07,1500.0,1483.44,1500.0,1482.85,1500.0,1500.0,1500.0,0,1479.07
jan choinski,1475.84,1500.0,1492.69,1444.09,1484.58,1503.71,1500.0,1500.0,1,1475.84
alan jackson,1443.04,1500.0,1500.0,1444.91,1500.0,1500.0,1500.0,1500.0,0,1443.04
francisco arrellaga,1466.73,1500.0,1484.0,1500.0,1481.36,1500.0,1500.0,1500.0,0,1466.73
martin emmrich,1493.1,1500.0,1500.0,1488.86,1500.0,1500.0,1500.0,1500.0,0,1493.1
chris bailey,1507.14,1571.76,1500.0,1435.43,1487.7,1500.0,1536.64,1519.62,0,1507.14
andrew sznajder,1486.44,1744.1,1514.3,1493.53,1463.97,1561.18,1500.0,1707.62,0,1486.44
